City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
440,Sinnamary,GF,79.9,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
442,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
443,Morondava,MG,76.28,clear sky,-20.2833,44.2833,La Case Bambou
444,Santa Lucia,ES,65.52,broken clouds,27.9117,-15.5407,Las Tirajanas
449,Cagliliog,PH,78.01,overcast clouds,13.9016,123.2913,Cagliliog Labog Beach
450,Aspindza,GE,58.03,overcast clouds,41.5739,43.2483,Aspindza Mountains
452,Vilhena,BR,72.75,moderate rain,-12.7406,-60.1458,Hotel Mirage
453,Lodja,CD,69.31,heavy intensity rain,-3.4833,23.4333,
454,Mayumba,GA,75.61,overcast clouds,-3.432,10.6554,LIKWALE LODGE
455,Wamba,NG,72.72,light rain,8.9333,8.6,Roma Zee Guest House Annex
457,Mindelo,CV,78.35,few clouds,16.8901,-24.9804,Hotel Gaudi
458,Abu Kamal,SY,77.43,clear sky,34.4506,40.9171,البوكمال
461,Impfondo,CG,69.66,broken clouds,1.6381,18.0667,Auberge La Place de Jules
462,Tura,IN,72.07,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
463,Caconda,AO,64.51,broken clouds,-13.7333,15.0667,
465,Beyneu,KZ,64.22,broken clouds,45.3167,55.2,NUR
466,Albury,AU,52.02,light rain,-36.0833,146.9167,Albury Georgian Motel & Suites
467,Nakamura,JP,69.4,overcast clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
470,Najran,SA,72.75,clear sky,17.4924,44.1277,محمد هادي ال فطيح
471,Gardiner,US,66.94,scattered clouds,44.2301,-69.7753,Foggy Bottom campground and marina
472,Kawalu,ID,70.02,overcast clouds,-7.3817,108.2082,West Jontor
473,Guarapari,BR,74.89,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
474,Snasa,NO,53.01,overcast clouds,64.2457,12.3778,Snåsa Hotell AS
476,Ocampo,MX,65.12,broken clouds,21.65,-101.5,Hotel Estancia del Vaquero
478,Kindu,CD,66.87,overcast clouds,-2.95,25.95,Résidence Okanda
480,Constantine,DZ,62.01,few clouds,36.365,6.6147,Grand Hotel Cirta
482,Huangchuan,CN,70.07,overcast clouds,32.1272,115.0394,Guangzhou International Hotel
483,Monte Carmelo,BR,74.46,overcast clouds,-18.7247,-47.4986,Park hotel
486,Volsk,RU,51.3,overcast clouds,52.0333,47.3833,Oasis Mini Hotel
487,Umkomaas,ZA,71.6,light rain,-30.2067,30.7978,The Norwegian Lodge
488,Half Moon Bay,US,79.54,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
